"SubjectID","Simulation","SSIM","Minkowski1","Minkowski2","intersectDist","Correlation","ChiSq"
"002010_XeVent_Noise_1.nii.gz",1,0.915143630335092,143770,13565.7391984366,0.579283279475877,0.349239192258676,NA
"002010_XeVent_Noise_1.nii.gz",2,0.896691100421573,143142,13522.1558192472,0.576752919181582,0.319046875983843,NA
"002010_XeVent_Noise_1.nii.gz",3,0.917371078140767,152800,13877.1125959257,0.615667281796717,0.206148365290951,NA
"002010_XeVent_Noise_1.nii.gz",4,0.811469104910054,143914,14078.6569671968,0.579863489479664,0.321857512061722,NA
"002010_XeVent_Noise_1.nii.gz",5,0.610715371438887,182346,18499.2263622023,0.734715092712724,-0.120599920206585,NA
"002010_XeVent_Noise_1.nii.gz",6,0.838259670288778,165878,18644.3775975493,0.668361632001805,0.141329252559715,NA
"002010_XeVent_Noise_1.nii.gz",7,0.843325684189211,145834,13007.5858636413,0.587599622863498,0.340937396570398,NA
"002010_XeVent_Noise_1.nii.gz",8,0.966961160178683,169024,17311.4506613397,0.681037608890107,0.0626099472781902,NA
"002010_XeVent_Noise_1.nii.gz",9,0.913128959875382,161084,15943.7126165771,0.649045473959047,0.114156218727613,NA
"002010_XeVent_Noise_1.nii.gz",10,0.957582269353993,146026,12948.600619372,0.588373236201881,0.325205176345173,NA
"002012_XeVent_Noise_1.nii.gz",1,0.777421920733938,70794,6686.66957460887,0.302342068400014,0.458442967146359,NA
"002012_XeVent_Noise_1.nii.gz",2,0.796213408534324,124708,14836.5024854243,0.532594212306536,-0.00354906229505866,NA
"002012_XeVent_Noise_1.nii.gz",3,0.939945286433926,89690,9227.45674603788,0.383041784823533,0.0817377927743329,Inf
"002012_XeVent_Noise_1.nii.gz",4,0.895574281598319,70548,7690.48776086407,0.301291468789504,0.368052637383266,Inf
"002012_XeVent_Noise_1.nii.gz",5,0.934678853659992,110786,13514.6034348034,0.473137107519902,-0.056738187118377,Inf
"002012_XeVent_Noise_1.nii.gz",6,0.667466368793531,60950,5709.50610823738,0.260301001059141,0.585401616898155,NA
"002012_XeVent_Noise_1.nii.gz",7,0.739135531592021,70252,6715.92718840817,0.300027332672794,0.509166001012342,NA
"002012_XeVent_Noise_1.nii.gz",8,0.662721098551767,45418,4923.39598244951,0.193968020772831,0.722803388997183,NA
"002012_XeVent_Noise_1.nii.gz",9,0.619091068312861,93154,8427.35664369321,0.397835593973146,0.383633037620298,NA
"002012_XeVent_Noise_1.nii.gz",10,0.886553563804176,79004,7645.392599468,0.337404762718234,0.318211991866654,Inf
"18_XeVent_Noise_1.nii.gz",1,0.630987246691724,122246,11567.779216427,0.599051287328609,0.168808327552623,NA
