"","Subject","Simulation","Artefact","PSNR"
"115","564",9,"Noise",17.548417670735
"116","564",9,"Nonlinearities",30.170505790707
"117","564",9,"NoiseAndNonlinearities",15.4726146435706
"118","564",10,"Noise",23.104161683152
"119","564",10,"Nonlinearities",35.9757785081847
"120","564",10,"NoiseAndNonlinearities",17.2965824763993
"121","566",1,"Noise",24.8906709659688
"122","566",1,"Nonlinearities",31.500634345201
"123","566",1,"NoiseAndNonlinearities",18.2148864208825
"124","566",2,"Noise",16.3740894741052
"125","566",2,"Nonlinearities",31.2007062348922
"126","566",2,"NoiseAndNonlinearities",18.1278010496301
"127","566",3,"Noise",25.9395047275153
"128","566",3,"Nonlinearities",30.4716955854441
"129","566",3,"NoiseAndNonlinearities",30.5254754969794
"130","566",4,"Noise",39.8771011139354
"131","566",4,"Nonlinearities",34.8744439910667
"132","566",4,"NoiseAndNonlinearities",15.55684845105
"133","566",5,"Noise",22.5860663484366
"134","566",5,"Nonlinearities",26.8431466599864
"135","566",5,"NoiseAndNonlinearities",16.40350094243
"136","566",6,"Noise",16.8804361836256
"137","566",6,"Nonlinearities",29.253556155869
"138","566",6,"NoiseAndNonlinearities",27.9778053445897
"139","566",7,"Noise",17.8350858753523
"140","566",7,"Nonlinearities",27.0776073031924
"141","566",7,"NoiseAndNonlinearities",19.3794768365042
"142","566",8,"Noise",20.9781685793677
"143","566",8,"Nonlinearities",26.105364185653
"144","566",8,"NoiseAndNonlinearities",26.3543453938961
"145","566",9,"Noise",30.8057622570653
"146","566",9,"Nonlinearities",30.5351022998213
"147","566",9,"NoiseAndNonlinearities",22.4733060566681
"148","566",10,"Noise",23.4630651195303
"149","566",10,"Nonlinearities",27.2755741185813
"150","566",10,"NoiseAndNonlinearities",26.9239171276364
"151","570",1,"Noise",30.3595984915131
"152","570",1,"Nonlinearities",32.6303661563899
"153","570",1,"NoiseAndNonlinearities",24.3352596188732
"154","570",2,"Noise",17.3344603630826
"155","570",2,"Nonlinearities",27.6821905091146
"156","570",2,"NoiseAndNonlinearities",15.9582441734044
"157","570",3,"Noise",15.8564712077129
"158","570",3,"Nonlinearities",30.441785863789
"159","570",3,"NoiseAndNonlinearities",24.332013731987
"160","570",4,"Noise",17.0905159991375
"161","570",4,"Nonlinearities",29.0213587480188
"162","570",4,"NoiseAndNonlinearities",37.1773855419998
"163","570",5,"Noise",15.9483894155409
"164","570",5,"Nonlinearities",31.2469927373158
"165","570",5,"NoiseAndNonlinearities",35.2987204721528
"166","570",6,"Noise",16.2264734453984
"167","570",6,"Nonlinearities",28.6162695387153
"168","570",6,"NoiseAndNonlinearities",21.0572321425767
"169","570",7,"Noise",17.4845821680209
"170","570",7,"Nonlinearities",27.416897205642
"171","570",7,"NoiseAndNonlinearities",24.6808439086488
"172","570",8,"Noise",16.8711586461805
"173","570",8,"Nonlinearities",33.2423043070379
"174","570",8,"NoiseAndNonlinearities",15.9971126176739
"175","570",9,"Noise",16.9212874905189
"176","570",9,"Nonlinearities",33.2576687512901
"177","570",9,"NoiseAndNonlinearities",16.4549038095108
"178","570",10,"Noise",29.3832570045053
"179","570",10,"Nonlinearities",34.0653788583461
"180","570",10,"NoiseAndNonlinearities",28.4673594263177
"181","571",1,"Noise",23.1910596232848
"182","571",1,"Nonlinearities",27.3832654541674
"183","571",1,"NoiseAndNonlinearities",23.6630320096109
"184","571",2,"Noise",23.3413509754938
"185","571",2,"Nonlinearities",32.9093323415517
"186","571",2,"NoiseAndNonlinearities",16.7503527222238
"187","571",3,"Noise",20.5356789472204
"188","571",3,"Nonlinearities",26.0772449573724
"189","571",3,"NoiseAndNonlinearities",27.0287833219788
"190","571",4,"Noise",24.9702503060959
"191","571",4,"Nonlinearities",29.5780662628973
"192","571",4,"NoiseAndNonlinearities",16.3533279647606
"193","571",5,"Noise",18.0093306822302
"194","571",5,"Nonlinearities",26.6246862693209
"195","571",5,"NoiseAndNonlinearities",21.7453665892209
"196","571",6,"Noise",17.4473696489922
"197","571",6,"Nonlinearities",24.4039018864807
"198","571",6,"NoiseAndNonlinearities",15.9121965898746
"199","571",7,"Noise",30.2941121193204
"200","571",7,"Nonlinearities",23.1065918208376
"201","571",7,"NoiseAndNonlinearities",28.0477069632888
"202","571",8,"Noise",16.9836854916093
"203","571",8,"Nonlinearities",26.4821194727922
"204","571",8,"NoiseAndNonlinearities",18.9032543676151
"205","571",9,"Noise",52.1709440084635
"206","571",9,"Nonlinearities",31.8914819875336
"207","571",9,"NoiseAndNonlinearities",26.5374742765889
"208","571",10,"Noise",18.4178312265111
"209","571",10,"Nonlinearities",30.5791133710613
"210","571",10,"NoiseAndNonlinearities",26.1269187229607
"211","590",1,"Noise",18.240998794689
"212","590",1,"Nonlinearities",26.8591052257721
"213","590",1,"NoiseAndNonlinearities",17.2847000678554
"214","590",2,"Noise",19.3764089248388
"215","590",2,"Nonlinearities",26.2697704993594
"216","590",2,"NoiseAndNonlinearities",20.0041090385372
"217","590",3,"Noise",32.5788849800578
"218","590",3,"Nonlinearities",29.4320866115748
"219","590",3,"NoiseAndNonlinearities",20.812509345634
"220","590",4,"Noise",27.4661160980953
"221","590",4,"Nonlinearities",26.463695717871
"222","590",4,"NoiseAndNonlinearities",24.2159715454718
"223","590",5,"Noise",20.1486285255545
"224","590",5,"Nonlinearities",29.3431962899398
"225","590",5,"NoiseAndNonlinearities",16.4599192305699
"226","590",6,"Noise",18.7892549187968
"227","590",6,"Nonlinearities",28.530544231004
"228","590",6,"NoiseAndNonlinearities",23.2079688964161
"229","590",7,"Noise",15.7252168703265
"230","590",7,"Nonlinearities",34.8864086814021
"231","590",7,"NoiseAndNonlinearities",17.597219923258
"232","590",8,"Noise",14.4419057737985
