Segmentation,Cluster,Specificity
LinearBinning,Cluster1,0.998098078878852
LinearBinning,Cluster2,0.999500451118062
LinearBinning,Cluster3,0.997674487055296
KMeans,Cluster0,0.999999999999252
KMeans,Cluster1,0.999984704937105
KMeans,Cluster2,0.989288917067683
KMeans,Cluster3,0.985978674861858
Atropos,Cluster0,0.999999999999252
Atropos,Cluster1,0.998666220884187
Atropos,Cluster2,0.99928745746897
Atropos,Cluster3,0.997565992205852
ElBicho,Cluster0,0.927603853099848
ElBicho,Cluster1,0.999344102552117
ElBicho,Cluster2,0.99608773592976
ElBicho,Cluster3,0.999999999999936
LinearBinning,Cluster0,0.999995476066018
LinearBinning,Cluster1,0.997627041766211
LinearBinning,Cluster2,0.999010318373052
LinearBinning,Cluster3,0.996228926579163
KMeans,Cluster0,0.999995476066018
KMeans,Cluster1,0.999976070791531
KMeans,Cluster2,0.995580071437305
KMeans,Cluster3,0.989059837862933
Atropos,Cluster0,0.999995476066018
Atropos,Cluster1,0.997770967536125
Atropos,Cluster2,0.999047951363537
Atropos,Cluster3,0.99598972023388
ElBicho,Cluster0,0.932790066807923
ElBicho,Cluster1,0.998022214431309
ElBicho,Cluster2,0.995010793424413
ElBicho,Cluster3,0.999997938898349
LinearBinning,Cluster0,0.999999999998904
LinearBinning,Cluster1,0.996418404352356
LinearBinning,Cluster2,0.997617883642076
LinearBinning,Cluster3,0.999252824496027
KMeans,Cluster0,0.999999999998904
KMeans,Cluster1,0.99999808240509
KMeans,Cluster2,0.99126130891562
KMeans,Cluster3,0.989347278304433
Atropos,Cluster0,0.999999999998904
Atropos,Cluster1,0.996516217883507
Atropos,Cluster2,0.999912019023638
Atropos,Cluster3,0.996875138717048
ElBicho,Cluster0,0.919022098229667
ElBicho,Cluster1,0.99873887946929
ElBicho,Cluster2,0.995661170349518
ElBicho,Cluster3,0.999971167285051
LinearBinning,Cluster0,0.999999999999456
LinearBinning,Cluster1,0.992774612864865
LinearBinning,Cluster2,0.994338065327837
LinearBinning,Cluster3,0.999265502475514
KMeans,Cluster0,0.999999999999456
KMeans,Cluster1,0.999981660125463
KMeans,Cluster2,0.971539807026267
KMeans,Cluster3,0.979935759583238
Atropos,Cluster0,0.999999999999456
Atropos,Cluster1,0.997325567120758
Atropos,Cluster2,0.999622924552401
Atropos,Cluster3,0.993851564384186
ElBicho,Cluster0,0.92733097899247
ElBicho,Cluster1,0.999072888659861
ElBicho,Cluster2,0.99193167971664
ElBicho,Cluster3,0.999889458834743
LinearBinning,Cluster0,0.999971846898018
LinearBinning,Cluster1,0.998186922754668
LinearBinning,Cluster2,0.99680771041952
LinearBinning,Cluster3,0.998868804417875
KMeans,Cluster0,0.999971846898018
KMeans,Cluster1,0.999998255148619
KMeans,Cluster2,0.994435429072618
KMeans,Cluster3,0.984225954886895
Atropos,Cluster0,0.999971846898018
Atropos,Cluster1,0.997274013203588
Atropos,Cluster2,0.999879626016516
Atropos,Cluster3,0.99674172037436
ElBicho,Cluster0,0.927874549481853
ElBicho,Cluster1,0.999898981948613
ElBicho,Cluster2,0.994130752885192
ElBicho,Cluster3,0.999967094663692
LinearBinning,Cluster0,0.999999999999172
LinearBinning,Cluster1,0.986355646898657
LinearBinning,Cluster2,0.988626847486589
LinearBinning,Cluster3,0.999988644278588
KMeans,Cluster0,0.999999999999172
KMeans,Cluster1,0.999988712896417
KMeans,Cluster2,0.989263326107828
KMeans,Cluster3,0.983593036961257
Atropos,Cluster0,0.999999999999172
Atropos,Cluster1,0.992929134955619
Atropos,Cluster2,0.999727534583738
Atropos,Cluster3,0.989864378569525
ElBicho,Cluster0,0.921128638079664
ElBicho,Cluster1,0.995974094807541
ElBicho,Cluster2,0.989879755128675
ElBicho,Cluster3,0.997837024977518
LinearBinning,Cluster0,0.999999999999297
LinearBinning,Cluster1,0.99929813020846
LinearBinning,Cluster2,0.99762087638456
LinearBinning,Cluster3,0.995139612110432
KMeans,Cluster0,0.999999999999297
KMeans,Cluster1,0.999992464701107
KMeans,Cluster2,0.997446605810505
KMeans,Cluster3,0.984931631265762
Atropos,Cluster0,0.999999999999297
Atropos,Cluster1,0.996972933635727
Atropos,Cluster2,0.998875238012754
Atropos,Cluster3,0.996273471347822
ElBicho,Cluster0,0.933078664402287
ElBicho,Cluster1,0.999762405454367
ElBicho,Cluster2,0.992798017516218
ElBicho,Cluster3,0.999979474012671
LinearBinning,Cluster0,0.999999999999381
LinearBinning,Cluster1,0.998287480127279
LinearBinning,Cluster2,0.997567612376213
LinearBinning,Cluster3,0.995848459908917
KMeans,Cluster0,0.999999999999381
KMeans,Cluster1,0.99999653330766
KMeans,Cluster2,0.991982467166043
KMeans,Cluster3,0.984405832129375
Atropos,Cluster0,0.999999999999381
Atropos,Cluster1,0.997006217260939
Atropos,Cluster2,0.999235092866828
Atropos,Cluster3,0.995075126270661
ElBicho,Cluster0,0.934171751130456
ElBicho,Cluster1,0.998882067866358
ElBicho,Cluster2,0.992920518832429
ElBicho,Cluster3,0.999994559594308
LinearBinning,Cluster0,0.999978517477458
LinearBinning,Cluster1,0.999559590452753
LinearBinning,Cluster2,0.998000093034095
LinearBinning,Cluster3,0.996015931378671
KMeans,Cluster0,0.999978517477458
KMeans,Cluster1,0.999999999999946
KMeans,Cluster2,0.997301017655602
KMeans,Cluster3,0.984843105146299
Atropos,Cluster0,0.999978517477458
Atropos,Cluster1,0.997586000007924
Atropos,Cluster2,0.998583341155199
Atropos,Cluster3,0.997470169228769
ElBicho,Cluster0,0.925333913661412
ElBicho,Cluster1,0.999831263166019
ElBicho,Cluster2,0.994141277384442
ElBicho,Cluster3,0.999973503826381
LinearBinning,Cluster0,0.999999999999308
LinearBinning,Cluster1,0.98537248744265
LinearBinning,Cluster2,0.991306061171933
LinearBinning,Cluster3,0.999998364968894
KMeans,Cluster0,0.999999999999308
KMeans,Cluster1,0.99999323407031
KMeans,Cluster2,0.985298576386774
KMeans,Cluster3,0.981371465854429
Atropos,Cluster0,0.999999999999308
Atropos,Cluster1,0.994704641692671
Atropos,Cluster2,0.997729632976509
Atropos,Cluster3,0.992754852920393
ElBicho,Cluster0,0.922976865185647
ElBicho,Cluster1,0.996983337775443
ElBicho,Cluster2,0.990279458357776
ElBicho,Cluster3,0.998702249455979
LinearBinning,Cluster0,0.999970280075616
LinearBinning,Cluster1,0.999436204211647
LinearBinning,Cluster2,0.999026853026142
LinearBinning,Cluster3,0.997916882229194
KMeans,Cluster0,0.999970280075616
KMeans,Cluster1,0.999999999999946
KMeans,Cluster2,0.997491893182158
KMeans,Cluster3,0.989499975535924
Atropos,Cluster0,0.999970280075616
Atropos,Cluster1,0.998529950816381
Atropos,Cluster2,0.99955938792868
Atropos,Cluster3,0.998299744218885
ElBicho,Cluster0,0.927927137179594
ElBicho,Cluster1,0.999852987297888
ElBicho,Cluster2,0.996624481949557
ElBicho,Cluster3,0.999998180384742
LinearBinning,Cluster0,0.999999999999393
LinearBinning,Cluster1,0.997495315008932
LinearBinning,Cluster2,0.995370581611185
LinearBinning,Cluster3,0.99746824205429
KMeans,Cluster0,0.999999999999393
KMeans,Cluster1,0.999998497854753
KMeans,Cluster2,0.987891713777112
KMeans,Cluster3,0.978251992307981
Atropos,Cluster0,0.999999999999393
Atropos,Cluster1,0.996412381516198
Atropos,Cluster2,0.999928102973756
Atropos,Cluster3,0.993729124300703
ElBicho,Cluster0,0.92215617620659
ElBicho,Cluster1,0.99976716446944
ElBicho,Cluster2,0.990306354170193
ElBicho,Cluster3,0.999999999999944
LinearBinning,Cluster0,0.999999622956354
LinearBinning,Cluster1,0.995017697542242
LinearBinning,Cluster2,0.993817472736496
LinearBinning,Cluster3,0.999377151955191
KMeans,Cluster0,0.999999622956354
KMeans,Cluster1,0.999980809878098
KMeans,Cluster2,0.988601745967645
KMeans,Cluster3,0.982144790750323
Atropos,Cluster0,0.999999622956354
Atropos,Cluster1,0.996667030664647
Atropos,Cluster2,0.998971327221352
Atropos,Cluster3,0.993480152348918
ElBicho,Cluster0,0.919567554197877
ElBicho,Cluster1,0.999450595334284
ElBicho,Cluster2,0.990820056475859
ElBicho,Cluster3,0.999628291170444
LinearBinning,Cluster0,0.999999999999336
LinearBinning,Cluster1,0.998979134233046
LinearBinning,Cluster2,0.997626284474632
LinearBinning,Cluster3,0.996397441323577
KMeans,Cluster0,0.999999999999336
KMeans,Cluster1,0.999999999999946
KMeans,Cluster2,0.994391939129896
KMeans,Cluster3,0.98135298466526
Atropos,Cluster0,0.999999999999336
Atropos,Cluster1,0.997535399494786
Atropos,Cluster2,0.999732403072858
Atropos,Cluster3,0.995708607634052
ElBicho,Cluster0,0.928259513411736
ElBicho,Cluster1,0.999852288645943
ElBicho,Cluster2,0.992707658333831
ElBicho,Cluster3,0.999996313108912
LinearBinning,Cluster0,0.999916465105652
LinearBinning,Cluster1,0.999408524564596
LinearBinning,Cluster2,0.998978755008998
LinearBinning,Cluster3,0.999017820944054
KMeans,Cluster0,0.999916465105652
KMeans,Cluster1,0.999998020529149
KMeans,Cluster2,0.999043210031826
KMeans,Cluster3,0.995362980525814
Atropos,Cluster0,0.999916465105652
Atropos,Cluster1,0.99883519096182
Atropos,Cluster2,0.999921141784517
Atropos,Cluster3,0.998632355467089
ElBicho,Cluster0,0.9200204427141
ElBicho,Cluster1,0.999832634329104
ElBicho,Cluster2,0.998090326946475
ElBicho,Cluster3,0.999999999999937
LinearBinning,Cluster0,0.999999999998785
LinearBinning,Cluster1,0.999526939963291
LinearBinning,Cluster2,0.998490543715346
LinearBinning,Cluster3,0.997371669446875
KMeans,Cluster0,0.999999999998785
KMeans,Cluster1,0.999999999999939
KMeans,Cluster2,0.998752972424131
KMeans,Cluster3,0.991336751694876
Atropos,Cluster0,0.999999999998785
Atropos,Cluster1,0.998257675446933
Atropos,Cluster2,0.999649400595405
Atropos,Cluster3,0.997492733888238
ElBicho,Cluster0,0.926312357351337
ElBicho,Cluster1,0.999888402260654
ElBicho,Cluster2,0.99592667418352
ElBicho,Cluster3,0.999995805725257
LinearBinning,Cluster0,0.999999999999014
LinearBinning,Cluster1,0.999163142066129
LinearBinning,Cluster2,0.998111991147264
LinearBinning,Cluster3,0.997491311042696
KMeans,Cluster0,0.999999999999014
KMeans,Cluster1,0.999999999999939
KMeans,Cluster2,0.997258256693399
KMeans,Cluster3,0.988794062799824
Atropos,Cluster0,0.999999999999014
Atropos,Cluster1,0.997558063206015
Atropos,Cluster2,0.999661127786173
Atropos,Cluster3,0.997517305200307
ElBicho,Cluster0,0.915602883787708
ElBicho,Cluster1,0.999774010590505
ElBicho,Cluster2,0.99527222153321
ElBicho,Cluster3,0.999999999999936
LinearBinning,Cluster0,0.999999999998603
LinearBinning,Cluster1,0.998581819013971
LinearBinning,Cluster2,0.99711741218781
LinearBinning,Cluster3,0.999748515669754
KMeans,Cluster0,0.999999999998603
KMeans,Cluster1,0.999998181935225
KMeans,Cluster2,0.996179963530946
KMeans,Cluster3,0.990384135876868
Atropos,Cluster0,0.999999999998603
Atropos,Cluster1,0.998491746887353
Atropos,Cluster2,0.999770472847665
Atropos,Cluster3,0.997238085143572
ElBicho,Cluster0,0.9124156038997
ElBicho,Cluster1,0.999858970002277
ElBicho,Cluster2,0.996260636567453
ElBicho,Cluster3,0.999765599300385
LinearBinning,Cluster0,0.999999999998007
LinearBinning,Cluster1,0.999753741740224
LinearBinning,Cluster2,0.998644179138143
LinearBinning,Cluster3,0.999931892985232
KMeans,Cluster0,0.999999999998007
KMeans,Cluster1,0.999999999999939
KMeans,Cluster2,0.999437751548627
KMeans,Cluster3,0.994197619511125
Atropos,Cluster0,0.999999999998007
Atropos,Cluster1,0.999012214148803
Atropos,Cluster2,0.999748461420976
Atropos,Cluster3,0.999585292832829
ElBicho,Cluster0,0.91641032499483
ElBicho,Cluster1,0.999994992519336
ElBicho,Cluster2,0.999085114553118
ElBicho,Cluster3,0.999502231451526
LinearBinning,Cluster0,0.999999999999206
LinearBinning,Cluster1,0.999268187703776
LinearBinning,Cluster2,0.995852852114668
LinearBinning,Cluster3,0.996574650879761
KMeans,Cluster0,0.999999999999206
KMeans,Cluster1,0.999998254506063
KMeans,Cluster2,0.996742947804434
KMeans,Cluster3,0.980401855279328
Atropos,Cluster0,0.999999999999206
Atropos,Cluster1,0.9970754129688
Atropos,Cluster2,0.999859702888671
Atropos,Cluster3,0.994781144942094
ElBicho,Cluster0,0.932804007246408
ElBicho,Cluster1,0.999893444532945
ElBicho,Cluster2,0.991553880917377
ElBicho,Cluster3,0.999958943430981
LinearBinning,Cluster0,0.999999999998811
LinearBinning,Cluster1,0.999553281195716
LinearBinning,Cluster2,0.998805930512832
LinearBinning,Cluster3,0.998448405088468
KMeans,Cluster0,0.999999999998811
KMeans,Cluster1,0.999998034475795
KMeans,Cluster2,0.999162526209153
KMeans,Cluster3,0.993843560482382
Atropos,Cluster0,0.999999999998811
Atropos,Cluster1,0.998620990915573
Atropos,Cluster2,0.999500716127499
Atropos,Cluster3,0.998701167691053
ElBicho,Cluster0,0.92453131232439
ElBicho,Cluster1,0.999862153548901
ElBicho,Cluster2,0.997534498038192
ElBicho,Cluster3,0.999987475431374
LinearBinning,Cluster0,0.999999999998876
LinearBinning,Cluster1,0.999408833309801
LinearBinning,Cluster2,0.99927929090459
LinearBinning,Cluster3,0.998394849977848
KMeans,Cluster0,0.999999999998876
KMeans,Cluster1,0.999999999999939
KMeans,Cluster2,0.997556525775408
KMeans,Cluster3,0.990165016659321
Atropos,Cluster0,0.999999999998876
Atropos,Cluster1,0.999149542124576
Atropos,Cluster2,0.999669180120706
Atropos,Cluster3,0.998260546958195
ElBicho,Cluster0,0.915968922077872
ElBicho,Cluster1,0.999863393448277
ElBicho,Cluster2,0.997287613335858
ElBicho,Cluster3,0.999970892336049
LinearBinning,Cluster0,0.999999999998528
LinearBinning,Cluster1,0.999318602377303
LinearBinning,Cluster2,0.99773001958874
LinearBinning,Cluster3,0.999679856577453
KMeans,Cluster0,0.999999999998528
KMeans,Cluster1,0.999999999999939
KMeans,Cluster2,0.998187429325361
KMeans,Cluster3,0.992457497467473
Atropos,Cluster0,0.999999999998528
Atropos,Cluster1,0.998814186472983
Atropos,Cluster2,0.999946957632431
Atropos,Cluster3,0.997967644786101
ElBicho,Cluster0,0.92045454545319
ElBicho,Cluster1,0.99991434752246
ElBicho,Cluster2,0.997384238184229
ElBicho,Cluster3,0.999792541622696
LinearBinning,Cluster0,0.999999999999302
LinearBinning,Cluster1,0.99965681732599
LinearBinning,Cluster2,0.996923868312336
LinearBinning,Cluster3,0.994738846772515
KMeans,Cluster0,0.999999999999302
KMeans,Cluster1,0.999999999999939
KMeans,Cluster2,0.998695118046352
KMeans,Cluster3,0.971912758118654
Atropos,Cluster0,0.999999999999302
Atropos,Cluster1,0.997451359480107
Atropos,Cluster2,0.999449182472721
Atropos,Cluster3,0.994581604546454
ElBicho,Cluster0,0.932274834901696
ElBicho,Cluster1,0.999833415547928
ElBicho,Cluster2,0.991009267168639
ElBicho,Cluster3,0.999999999999936
LinearBinning,Cluster0,0.999999999998872
LinearBinning,Cluster1,0.999978112061456
LinearBinning,Cluster2,0.998949949289565
LinearBinning,Cluster3,0.997521829779637
KMeans,Cluster0,0.999999999998872
KMeans,Cluster1,0.999999999999939
KMeans,Cluster2,0.999960717006089
KMeans,Cluster3,0.995228135089534
Atropos,Cluster0,0.999999999998872
Atropos,Cluster1,0.998818556337184
Atropos,Cluster2,0.997735295229511
Atropos,Cluster3,0.999987462282652
ElBicho,Cluster0,0.940575321724904
ElBicho,Cluster1,0.999996012553089
ElBicho,Cluster2,0.998526853721514
ElBicho,Cluster3,0.998726791875521
LinearBinning,Cluster0,0.999999999999118
LinearBinning,Cluster1,0.998943788006219
LinearBinning,Cluster2,0.997668377427824
LinearBinning,Cluster3,0.997942605927153
KMeans,Cluster0,0.999999999999118
KMeans,Cluster1,0.999999999999939
KMeans,Cluster2,0.995624966966147
KMeans,Cluster3,0.984579223520869
Atropos,Cluster0,0.999999999999118
Atropos,Cluster1,0.997592005348677
Atropos,Cluster2,0.999798340601218
Atropos,Cluster3,0.997172316622592
ElBicho,Cluster0,0.921242603549484
ElBicho,Cluster1,0.99990703812734
ElBicho,Cluster2,0.994729067724317
ElBicho,Cluster3,0.999974268262351
LinearBinning,Cluster0,0.999979437496436
LinearBinning,Cluster1,0.998272114997321
LinearBinning,Cluster2,0.998084884234015
LinearBinning,Cluster3,0.997477886348726
KMeans,Cluster0,0.999979437496436
KMeans,Cluster1,0.999988850829698
KMeans,Cluster2,0.993833853368869
KMeans,Cluster3,0.986972986533898
Atropos,Cluster0,0.999979437496436
Atropos,Cluster1,0.997747400237334
Atropos,Cluster2,0.998596561219203
Atropos,Cluster3,0.997377706670762
ElBicho,Cluster0,0.935728324580205
ElBicho,Cluster1,0.999429552262944
ElBicho,Cluster2,0.994809434160835
ElBicho,Cluster3,0.999812623720091
LinearBinning,Cluster0,0.999999999998917
LinearBinning,Cluster1,0.99965236786937
LinearBinning,Cluster2,0.998455757868567
LinearBinning,Cluster3,0.99737651081972
KMeans,Cluster0,0.999999999998917
KMeans,Cluster1,0.999999999999939
KMeans,Cluster2,0.999149840000989
KMeans,Cluster3,0.991820262482062
Atropos,Cluster0,0.999999999998917
Atropos,Cluster1,0.998119014751705
Atropos,Cluster2,0.998054520897992
Atropos,Cluster3,0.999370093154322
ElBicho,Cluster0,0.92647486195773
ElBicho,Cluster1,0.999882531985166
ElBicho,Cluster2,0.996605300641418
ElBicho,Cluster3,0.999779151611765
LinearBinning,Cluster0,0.999999999999134
LinearBinning,Cluster1,0.999660489191188
LinearBinning,Cluster2,0.99810346615818
LinearBinning,Cluster3,0.997568182491046
KMeans,Cluster0,0.999999999999134
KMeans,Cluster1,0.999999999999939
KMeans,Cluster2,0.999183297512777
KMeans,Cluster3,0.9923418849695
Atropos,Cluster0,0.999999999999134
Atropos,Cluster1,0.99803717864195
Atropos,Cluster2,0.998814305569397
Atropos,Cluster3,0.998541381898951
ElBicho,Cluster0,0.942048360845499
ElBicho,Cluster1,0.999880886329838
ElBicho,Cluster2,0.996145016467115
ElBicho,Cluster3,0.999946766732466
LinearBinning,Cluster0,0.999999999998939
LinearBinning,Cluster1,0.99973199377366
LinearBinning,Cluster2,0.999294736806387
LinearBinning,Cluster3,0.998168199828132
KMeans,Cluster0,0.999999999998939
KMeans,Cluster1,0.999999999999939
KMeans,Cluster2,0.999484879333339
KMeans,Cluster3,0.995498440942631
Atropos,Cluster0,0.999999999998939
Atropos,Cluster1,0.999113221702015
Atropos,Cluster2,0.99899769549036
Atropos,Cluster3,0.999125910914048
ElBicho,Cluster0,0.92952733485095
ElBicho,Cluster1,0.999914135833246
ElBicho,Cluster2,0.997967985971673
ElBicho,Cluster3,0.999958008092774
LinearBinning,Cluster0,0.998632940302496
LinearBinning,Cluster1,0.999996248280628
LinearBinning,Cluster2,0.996406997748438
LinearBinning,Cluster3,0.995998021095072
KMeans,Cluster0,0.998632940302496
KMeans,Cluster1,0.999999999999939
KMeans,Cluster2,0.999887418653514
KMeans,Cluster3,0.987794376392781
Atropos,Cluster0,0.998632940302496
Atropos,Cluster1,0.996206377790261
Atropos,Cluster2,0.997081123621691
Atropos,Cluster3,0.999265389600389
ElBicho,Cluster0,0.918904370149503
ElBicho,Cluster1,0.99957945914732
ElBicho,Cluster2,0.994391182457078
ElBicho,Cluster3,0.999579720915626
LinearBinning,Cluster0,0.999977430952023
LinearBinning,Cluster1,0.999979575395747
LinearBinning,Cluster2,0.992827131595703
LinearBinning,Cluster3,0.996129090640548
KMeans,Cluster0,0.999977430952023
KMeans,Cluster1,0.999999999999967
KMeans,Cluster2,0.999609512030078
KMeans,Cluster3,0.973675826046145
Atropos,Cluster0,0.999977430952023
Atropos,Cluster1,0.994161270959224
Atropos,Cluster2,0.99655254742048
Atropos,Cluster3,0.99808299456825
ElBicho,Cluster0,0.958917608873882
ElBicho,Cluster1,0.999973130957975
ElBicho,Cluster2,0.99333048004912
ElBicho,Cluster3,0.997379341593807
LinearBinning,Cluster0,0.999457897109867
LinearBinning,Cluster1,0.999999999999909
LinearBinning,Cluster2,0.996256884953382
LinearBinning,Cluster3,0.995651272446623
KMeans,Cluster0,0.999457897109867
KMeans,Cluster1,0.999999999999909
KMeans,Cluster2,0.999828051731304
KMeans,Cluster3,0.98464236270179
Atropos,Cluster0,0.999457897109867
Atropos,Cluster1,0.996486548545864
Atropos,Cluster2,0.996915527644237
Atropos,Cluster3,0.998905263353575
ElBicho,Cluster0,0.929194355195404
ElBicho,Cluster1,0.999963242842087
ElBicho,Cluster2,0.994270294940204
ElBicho,Cluster3,0.999921400929427
LinearBinning,Cluster0,0.999999999999049
LinearBinning,Cluster1,0.999787617695193
LinearBinning,Cluster2,0.998977289645655
LinearBinning,Cluster3,0.998459895871797
KMeans,Cluster0,0.999999999999049
KMeans,Cluster1,0.999999999999939
KMeans,Cluster2,0.99962480877372
KMeans,Cluster3,0.994963271974806
Atropos,Cluster0,0.999999999999049
Atropos,Cluster1,0.998864815286354
Atropos,Cluster2,0.998971685804911
Atropos,Cluster3,0.999445585748585
ElBicho,Cluster0,0.945890760591239
ElBicho,Cluster1,0.999965829292639
ElBicho,Cluster2,0.997932167349155
ElBicho,Cluster3,0.999939098682535
LinearBinning,Cluster0,0.999658933143872
LinearBinning,Cluster1,0.999993925837609
LinearBinning,Cluster2,0.997362465678196
