"","Subject","Simulation","Artefact","PSNR"
"66","18_XeVent_Noise_1.nii.gz",2,"NoiseAndNonlinearities",15.7356048621496
"67","18_XeVent_Noise_1.nii.gz",3,"Noise",21.6683654106849
"68","18_XeVent_Noise_1.nii.gz",3,"Nonlinearities",26.2227491127417
"69","18_XeVent_Noise_1.nii.gz",3,"NoiseAndNonlinearities",16.205888991213
"70","18_XeVent_Noise_1.nii.gz",4,"Noise",16.7312055777727
"71","18_XeVent_Noise_1.nii.gz",4,"Nonlinearities",32.537018981662
"72","18_XeVent_Noise_1.nii.gz",4,"NoiseAndNonlinearities",26.1017296777151
"73","18_XeVent_Noise_1.nii.gz",5,"Noise",19.4566982506952
"74","18_XeVent_Noise_1.nii.gz",5,"Nonlinearities",27.9195872119917
"75","18_XeVent_Noise_1.nii.gz",5,"NoiseAndNonlinearities",24.0998441875653
"76","18_XeVent_Noise_1.nii.gz",6,"Noise",23.9573574514155
"77","18_XeVent_Noise_1.nii.gz",6,"Nonlinearities",26.5561252347342
"78","18_XeVent_Noise_1.nii.gz",6,"NoiseAndNonlinearities",18.2941695958192
"79","18_XeVent_Noise_1.nii.gz",7,"Noise",21.2523806626218
"80","18_XeVent_Noise_1.nii.gz",7,"Nonlinearities",25.8379513613812
"81","18_XeVent_Noise_1.nii.gz",7,"NoiseAndNonlinearities",20.300086030137
"82","18_XeVent_Noise_1.nii.gz",8,"Noise",17.4080609253603
"83","18_XeVent_Noise_1.nii.gz",8,"Nonlinearities",22.0450212954121
"84","18_XeVent_Noise_1.nii.gz",8,"NoiseAndNonlinearities",16.6905404683437
"85","18_XeVent_Noise_1.nii.gz",9,"Noise",16.0456811134066
"86","18_XeVent_Noise_1.nii.gz",9,"Nonlinearities",29.5795672551161
"87","18_XeVent_Noise_1.nii.gz",9,"NoiseAndNonlinearities",23.8032995532886
"88","18_XeVent_Noise_1.nii.gz",10,"Noise",15.4670540048913
"89","18_XeVent_Noise_1.nii.gz",10,"Nonlinearities",20.4316618991641
"90","18_XeVent_Noise_1.nii.gz",10,"NoiseAndNonlinearities",18.1161709353263
"91","21010_XeVent_Noise_1.nii.gz",1,"Noise",19.153038765741
"92","21010_XeVent_Noise_1.nii.gz",1,"Nonlinearities",27.5046029876825
"93","21010_XeVent_Noise_1.nii.gz",1,"NoiseAndNonlinearities",19.6195949085737
"94","21010_XeVent_Noise_1.nii.gz",2,"Noise",15.4025242287679
"95","21010_XeVent_Noise_1.nii.gz",2,"Nonlinearities",33.1998289758822
"96","21010_XeVent_Noise_1.nii.gz",2,"NoiseAndNonlinearities",33.801231680376
"97","21010_XeVent_Noise_1.nii.gz",3,"Noise",21.8338973785995
"98","21010_XeVent_Noise_1.nii.gz",3,"Nonlinearities",34.5199224136442
"99","21010_XeVent_Noise_1.nii.gz",3,"NoiseAndNonlinearities",19.3091031884644
"100","21010_XeVent_Noise_1.nii.gz",4,"Noise",29.5101253954272
"101","21010_XeVent_Noise_1.nii.gz",4,"Nonlinearities",29.5434433141027
"102","21010_XeVent_Noise_1.nii.gz",4,"NoiseAndNonlinearities",16.4789168150078
"103","21010_XeVent_Noise_1.nii.gz",5,"Noise",16.3545157652127
"104","21010_XeVent_Noise_1.nii.gz",5,"Nonlinearities",25.0660868628054
"105","21010_XeVent_Noise_1.nii.gz",5,"NoiseAndNonlinearities",19.466888890218
"106","21010_XeVent_Noise_1.nii.gz",6,"Noise",19.0364687704777
"107","21010_XeVent_Noise_1.nii.gz",6,"Nonlinearities",18.6651697340934
"108","21010_XeVent_Noise_1.nii.gz",6,"NoiseAndNonlinearities",16.7213169467621
"109","21010_XeVent_Noise_1.nii.gz",7,"Noise",24.5632778608044
"110","21010_XeVent_Noise_1.nii.gz",7,"Nonlinearities",24.3545239282495
"111","21010_XeVent_Noise_1.nii.gz",7,"NoiseAndNonlinearities",23.1232805075385
"112","21010_XeVent_Noise_1.nii.gz",8,"Noise",18.3213503356665
"113","21010_XeVent_Noise_1.nii.gz",8,"Nonlinearities",25.4993594962419
"114","21010_XeVent_Noise_1.nii.gz",8,"NoiseAndNonlinearities",25.0129353981038
"115","21010_XeVent_Noise_1.nii.gz",9,"Noise",46.3763719457545
"116","21010_XeVent_Noise_1.nii.gz",9,"Nonlinearities",26.9648479370931
"117","21010_XeVent_Noise_1.nii.gz",9,"NoiseAndNonlinearities",23.3128927958932
"118","21010_XeVent_Noise_1.nii.gz",10,"Noise",25.1540669962569
"119","21010_XeVent_Noise_1.nii.gz",10,"Nonlinearities",24.163839553447
"120","21010_XeVent_Noise_1.nii.gz",10,"NoiseAndNonlinearities",29.6540768268349
"121","21011_XeVent_Noise_1.nii.gz",1,"Noise",15.2752399227732
"122","21011_XeVent_Noise_1.nii.gz",1,"Nonlinearities",47.7508278699742
"123","21011_XeVent_Noise_1.nii.gz",1,"NoiseAndNonlinearities",17.6742866078059
"124","21011_XeVent_Noise_1.nii.gz",2,"Noise",31.0453481518907
"125","21011_XeVent_Noise_1.nii.gz",2,"Nonlinearities",21.3331380262155
"126","21011_XeVent_Noise_1.nii.gz",2,"NoiseAndNonlinearities",17.6356988161702
"127","21011_XeVent_Noise_1.nii.gz",3,"Noise",16.6574599678334
"128","21011_XeVent_Noise_1.nii.gz",3,"Nonlinearities",24.8465434328926
"129","21011_XeVent_Noise_1.nii.gz",3,"NoiseAndNonlinearities",20.414522766759
"130","21011_XeVent_Noise_1.nii.gz",4,"Noise",22.8343586105133
"131","21011_XeVent_Noise_1.nii.gz",4,"Nonlinearities",37.9437311642301
"132","21011_XeVent_Noise_1.nii.gz",4,"NoiseAndNonlinearities",19.8466556039128
"133","21011_XeVent_Noise_1.nii.gz",5,"Noise",16.011904679873
"134","21011_XeVent_Noise_1.nii.gz",5,"Nonlinearities",23.3386416887209
"135","21011_XeVent_Noise_1.nii.gz",5,"NoiseAndNonlinearities",30.1138860555195
"136","21011_XeVent_Noise_1.nii.gz",6,"Noise",15.5603985137353
"137","21011_XeVent_Noise_1.nii.gz",6,"Nonlinearities",26.1428855882284
"138","21011_XeVent_Noise_1.nii.gz",6,"NoiseAndNonlinearities",20.1406117961962
"139","21011_XeVent_Noise_1.nii.gz",7,"Noise",16.2954388905525
"140","21011_XeVent_Noise_1.nii.gz",7,"Nonlinearities",29.6189654459541
"141","21011_XeVent_Noise_1.nii.gz",7,"NoiseAndNonlinearities",17.0103668039768
"142","21011_XeVent_Noise_1.nii.gz",8,"Noise",17.9099150086806
"143","21011_XeVent_Noise_1.nii.gz",8,"Nonlinearities",25.5282866897448
"144","21011_XeVent_Noise_1.nii.gz",8,"NoiseAndNonlinearities",17.2927891747309
"145","21011_XeVent_Noise_1.nii.gz",9,"Noise",18.2968258150876
"146","21011_XeVent_Noise_1.nii.gz",9,"Nonlinearities",22.5933442915833
"147","21011_XeVent_Noise_1.nii.gz",9,"NoiseAndNonlinearities",17.7739031885856
"148","21011_XeVent_Noise_1.nii.gz",10,"Noise",24.6637530627661
"149","21011_XeVent_Noise_1.nii.gz",10,"Nonlinearities",26.9746281508276
"150","21011_XeVent_Noise_1.nii.gz",10,"NoiseAndNonlinearities",14.9260835939816
"151","21012_XeVent_Noise_1.nii.gz",1,"Noise",25.6486814885204
"152","21012_XeVent_Noise_1.nii.gz",1,"Nonlinearities",24.0286884348413
"153","21012_XeVent_Noise_1.nii.gz",1,"NoiseAndNonlinearities",20.7872903340173
"154","21012_XeVent_Noise_1.nii.gz",2,"Noise",18.399765643828
"155","21012_XeVent_Noise_1.nii.gz",2,"Nonlinearities",21.5687205523368
"156","21012_XeVent_Noise_1.nii.gz",2,"NoiseAndNonlinearities",20.5517749721053
"157","21012_XeVent_Noise_1.nii.gz",3,"Noise",46.3046546015696
"158","21012_XeVent_Noise_1.nii.gz",3,"Nonlinearities",23.2573042241124
"159","21012_XeVent_Noise_1.nii.gz",3,"NoiseAndNonlinearities",19.565209589436
"160","21012_XeVent_Noise_1.nii.gz",4,"Noise",17.6067640750795
