"SubjectID","Simulation","Segmentation","VDP","DiceAll","Dice1","Dice2","Dice3"
"002010_XeVent_Noise_1.nii.gz",1,"LinearBinning",0.157672068529248,0.709959465884458,0.549108301509028,0.0765125468260892,0.86923359726955
"002010_XeVent_Noise_1.nii.gz",1,"Atropos",0.0801979160790697,0.919890727115953,0.809957924263675,0.136623596695615,0.961747401097314
"002010_XeVent_Noise_1.nii.gz",1,"ElBicho",0.0876842368223832,0.829490777866881,0.626233423417761,0.624146952814827,0.915111100582745
"002010_XeVent_Noise_1.nii.gz",1,"Kmeans",0.118008267992554,0.852691126816178,0.318810630847827,0,0.931579922877667
"002010_XeVent_Noise_1.nii.gz",1,"Fuzzy",0.186215177326682,0.794404196852361,0.730399428602824,0.700872338429791,0.87588540349102
"002010_XeVent_Noise_1.nii.gz",2,"LinearBinning",0.0555470493903766,0.952656475385396,0.964190795915513,0.738342315058121,0.974635230685553
"002010_XeVent_Noise_1.nii.gz",2,"Atropos",0.0601000862256533,0.97613886359424,0.942262963469695,0.608141245708681,0.98821284584372
"002010_XeVent_Noise_1.nii.gz",2,"ElBicho",0.0440153755651004,0.977105986477976,0.953488372093023,0.939223322577056,0.987685129930017
"002010_XeVent_Noise_1.nii.gz",2,"Kmeans",0.0268750050365452,0.99163530577873,0.908704188481675,0.83290405666452,0.997964911685647
"002010_XeVent_Noise_1.nii.gz",2,"Fuzzy",0.0966291410474402,0.860129096725843,0.948467470832509,0.731547361257192,0.89854596237575
"002010_XeVent_Noise_1.nii.gz",3,"LinearBinning",0.0640729130571426,0.756932300774419,0.964443865589997,0.464957871396896,0.832155507069791
"002010_XeVent_Noise_1.nii.gz",3,"Atropos",0.0434512825058625,0.715213589807644,0.812778840025494,0.139202796858458,0.828902095714733
"002010_XeVent_Noise_1.nii.gz",3,"ElBicho",0.0391399998388306,0.848985856631034,0.951350257914433,0.717598356573705,0.893850835668051
"002010_XeVent_Noise_1.nii.gz",3,"Kmeans",0.0223783775071922,0.996051348585335,1,0.91551724137931,0.997931022834752
"002010_XeVent_Noise_1.nii.gz",3,"Fuzzy",0.32793952922405,0.710386564915023,0.492470688473578,0.406225732366208,0.936113230695573
"002010_XeVent_Noise_1.nii.gz",4,"LinearBinning",0.278629737374389,0.455182806443554,0.352778637955266,0,0.645297010176444
"002010_XeVent_Noise_1.nii.gz",4,"Atropos",0.111069923363929,0.322645112939489,0.614620636967006,0.00589792819586141,0.452268322105805
"002010_XeVent_Noise_1.nii.gz",4,"ElBicho",0.183596173837364,0.421341215095702,0.354582389530076,0.132315780117078,0.608373916412785
"002010_XeVent_Noise_1.nii.gz",4,"Kmeans",0.148904450694237,0.749961722256695,0.261303222771113,0.290974695841236,0.848875381123547
"002010_XeVent_Noise_1.nii.gz",4,"Fuzzy",0.301870371414987,0.5121481469543,0.523860188359538,0.339176945748281,0.656271852733836
"002010_XeVent_Noise_1.nii.gz",5,"LinearBinning",0.242092624080327,0.651317963140548,0.395492295778033,0,0.832155507069791
"002010_XeVent_Noise_1.nii.gz",5,"Atropos",0.217353114196611,0.830022644307092,0.413219266377593,0,0.91325122308732
"002010_XeVent_Noise_1.nii.gz",5,"ElBicho",0.0909720935105123,0.738502752139972,0.610208958882284,0.509405979236594,0.844276513741792
"002010_XeVent_Noise_1.nii.gz",5,"Kmeans",0.035320283980563,0.756150628963761,0.775698324022346,0.0923270742096107,0.862033434767536
"002010_XeVent_Noise_1.nii.gz",5,"Fuzzy",0.338633121932744,0.681400240142474,0.480656591221346,0.356773290813836,0.917737124071594
"002010_XeVent_Noise_1.nii.gz",6,"LinearBinning",0.0555470493903766,0.936676524864416,0.964190795915513,0.616121152906693,0.96557928572098
"002010_XeVent_Noise_1.nii.gz",6,"Atropos",0.064427485837235,0.966525106170372,0.91270207852194,0.486241502104241,0.983200574821581
"002010_XeVent_Noise_1.nii.gz",6,"ElBicho",0.0428710725020751,0.899149919496792,0.946473429951691,0.654766011268253,0.940319828986043
"002010_XeVent_Noise_1.nii.gz",6,"Kmeans",0.0223783775071922,0.996051348585335,1,0.91551724137931,0.997931022834752
"002010_XeVent_Noise_1.nii.gz",6,"Fuzzy",0.0863787643138614,0.727317415164433,0.892766418190147,0.332886223765189,0.819682148065738
"002010_XeVent_Noise_1.nii.gz",7,"LinearBinning",0.0477222728115204,0.897085250578195,0.888722143017934,0.270186867821018,0.948067721751932
"002010_XeVent_Noise_1.nii.gz",7,"Atropos",0.059511817749591,0.967492122843351,0.918391199724991,0.0949113779302459,0.983857862285622
"002010_XeVent_Noise_1.nii.gz",7,"ElBicho",0.0339503436938425,0.887411747033198,0.903819106350752,0.614364768273,0.935042638966241
"002010_XeVent_Noise_1.nii.gz",7,"Kmeans",0.0268750050365452,0.991554721055982,0.908704188481675,0.800076306753148,0.997931022834752
"002010_XeVent_Noise_1.nii.gz",7,"Fuzzy",0.0659585955694519,0.847130780946548,0.762139764421062,0.731552649086302,0.911149557862361
"002010_XeVent_Noise_1.nii.gz",8,"LinearBinning",0.242092624080327,0.479833673132248,0.395492295778033,0,0.672002577734816
"002010_XeVent_Noise_1.nii.gz",8,"Atropos",0.242044273246678,0.764475030823656,0.34837079255834,0.00659369642621654,0.86881965714061
"002010_XeVent_Noise_1.nii.gz",8,"ElBicho",0.0478109160065435,0.654807539732251,0.885524035391772,0.514880254956179,0.720557111624886
"002010_XeVent_Noise_1.nii.gz",8,"Kmeans",0.0437736213968556,0.707566099618834,0.676574491411865,0.0262953124580751,0.834076602798114
