"NumberOfImages","Mean","StandardDeviation"
"4",0.550244599032278,0.200443959733853
"4",0.596426931769173,0.203339612486509
"4",0.596995555926263,0.218645491578113
"4",0.645154933193278,0.209023691566747
"4",0.616926473950264,0.202251664646897
"4",0.554825672805638,0.21743671654644
"4",0.629657990870813,0.214913788807691
"4",0.599685694790985,0.205655921661639
"4",0.533975229080327,0.215696784589633
"4",0.645222257406274,0.197136459952315
"4",0.587015583824791,0.219959871764889
"4",0.559347105908273,0.206349558909759
"4",0.632122823681762,0.223427128485397
"4",0.603339233649024,0.215397271131374
"4",0.540223799697352,0.226100732650492
"4",0.64691459238441,0.206004816044689
"4",0.590753635962191,0.227939448857744
"4",0.564100112838561,0.215924081756929
"4",0.632830606875458,0.211494298410589
"4",0.573732698062644,0.230005570253601
"4",0.545537643230058,0.215180933213329
"4",0.593261846924398,0.217336662343336
"4",0.644630440902707,0.210470359817208
"4",0.616934382886771,0.20385741586049
"4",0.556026667100949,0.218831230309883
"4",0.657837566253463,0.192992877911108
"4",0.603432354225614,0.21847872709149
"4",0.577710116437979,0.207846023368209
"4",0.644721493632165,0.19881547848209
"4",0.58756424680701,0.221093454886449
"4",0.560407320164318,0.207930911881952
"4",0.605315141554818,0.20803619030537
"4",0.646401537581311,0.207412088950874
"4",0.591218156964368,0.228851730834593
"4",0.565039688133751,0.217198385308358
"4",0.608099673099258,0.215738961808681
"4",0.593663948941597,0.218426846111531
"5",0.516886095922267,0.203402128764141
"5",0.521025704711445,0.210677543867659
"5",0.507513916238365,0.207464402797452
"5",0.542287212226493,0.216252945252608
"5",0.52485762947219,0.204415632593189
"5",0.487692253212291,0.199137310783003
"5",0.531000934050749,0.207331734283063
"5",0.518094921872908,0.204691044216064
"5",0.55148767986133,0.212090058307968
"5",0.53445919115092,0.201023488688173
"5",0.498069753461294,0.197598279100267
"5",0.522157947788219,0.211787703105889
"5",0.554565369585052,0.217842423950348
"5",0.537926382804308,0.207624298813044
"5",0.502346858225897,0.205086757078678
"5",0.54313734605632,0.217139401767482
"5",0.525912014140917,0.205577520935045
"5",0.489177201175173,0.200629282849421
"5",0.557165931125867,0.211569972376147
"5",0.522898379430103,0.212428930979525
"5",0.506466754543102,0.199587300690144
"5",0.527737684448205,0.216235072819277
"5",0.514508760916482,0.213738824895251
"5",0.548662784635582,0.220840320341372
"5",0.531349260409811,0.209878535337999
"5",0.494373160262146,0.205978128409928
"5",0.51872211660978,0.220517787405315
"5",0.551849205717947,0.226308254959678
"5",0.534938131394363,0.216168554057978
"5",0.498797954503143,0.213179028855569
"5",0.540157684191835,0.225730432858784
"5",0.522640763871831,0.214254747264318
"5",0.485308044711569,0.208837921530918
"5",0.554566107751398,0.219973455847489
"5",0.519778723643711,0.220396381057452
"5",0.503082264267218,0.207647186499483
"5",0.528786453368996,0.217215044024491
"5",0.560633003948848,0.22187616315966
"5",0.544100179724525,0.212399949917052
"5",0.508694257161704,0.211007643869548
"5",0.549437449384758,0.221630751552077
"5",0.532325508898621,0.210913885054938
"5",0.495775632032224,0.207292740365231
"5",0.563052433966249,0.215561410174116
"5",0.52894607485944,0.217358927363662
"5",0.512617104191766,0.205397347354859
"5",0.552571912931024,0.2269932881393
"5",0.535853225052399,0.217068258447708
"5",0.500120329059519,0.214315808859879
"5",0.565733558842073,0.220721742523061
"5",0.532339770241782,0.222919453563171
"5",0.516368962352059,0.211825636539275
"5",0.555239172193423,0.220718517617554
"5",0.52082932953365,0.221273017393454
"5",0.504320287279391,0.208815624589893
"5",0.535418197057992,0.217221893862129
"5",0.531038141926072,0.208270291415154
"5",0.518238460560953,0.205699403385035
"5",0.551367676039242,0.212943154847739
"5",0.534468812487455,0.2020111203737
"5",0.498359339696285,0.198661153093841
"5",0.522265858537492,0.212682499571264
"5",0.554425022705664,0.218614999636679
"5",0.537909819407461,0.208511699150416
"5",0.502597982501088,0.206028314648845
"5",0.543080411378341,0.217938071651857
"5",0.525987708093531,0.206518516778267
"5",0.489538176936762,0.201675960493433
"5",0.557010704383995,0.212390748556187
"5",0.522991532402724,0.213238705225815
"5",0.506680630596853,0.200563214476102
"5",0.532024663285361,0.20934054858754
"5",0.562968653991783,0.214176312731423
"5",0.546814494395074,0.204714558330582
"5",0.512203998320427,0.203797502663058
"5",0.552095049729933,0.213823417788311
"5",0.535388294622781,0.203136576078127
"5",0.499685414304146,0.200048924914131
"5",0.565272186386929,0.207966488161705
"5",0.531904599454749,0.210169267687968
"5",0.515944720547167,0.198255567345028
"5",0.555103981260964,0.219384615245799
"5",0.538772321537008,0.209495628570796
"5",0.503849413921211,0.207234074964875
"5",0.567852863333973,0.213325448787914
"5",0.53516762788865,0.215895844190787
"5",0.519550119283596,0.204855310127381
"5",0.557643677272259,0.213219157766266
"5",0.523985645266146,0.214186561914978
"5",0.50785366777169,0.201801539375521
"5",0.538108579439319,0.210284614647539
"5",0.52884136798613,0.218039066256247
"5",0.560448227445214,0.222606539362132
"5",0.544037615073547,0.213230010920689
"5",0.508896784683238,0.211868878152173
"5",0.549332621011054,0.222378474446219
"5",0.53235157491693,0.21178548928286
"5",0.496084127124324,0.208240795943097
"5",0.562855383697806,0.216340245573747
"5",0.528995081116054,0.218110183728217
"5",0.512785338899215,0.206294867130286
"5",0.552445909704694,0.227669787824786
"5",0.535852190241691,0.217851275354216
"5",0.500389285671352,0.215155324496212
"5",0.565521580969624,0.221433534419142
"5",0.532363710025496,0.223597740867114
"5",0.516506977296755,0.212630556502633
"5",0.555097342948736,0.221442284375142
"5",0.520937939530167,0.221991463300645
"5",0.504550754845497,0.209688538316148
"5",0.535420250009976,0.21793884581903
"5",0.561059740129348,0.22329983918312
"5",0.544830387250147,0.214114800042884
"5",0.510074755741339,0.21293919031045
"5",0.573436971496808,0.216831797618273
"5",0.540898484661178,0.220205375760906
"5",0.525374055113377,0.209890215651387
"5",0.563424820672414,0.217093711493009
"5",0.529922315509988,0.218957009770093
"5",0.513889325347881,0.207401870949755
"5",0.543677833052317,0.21453799604847
"5",0.566052256708007,0.222097087676508
"5",0.533237569565898,0.224338449974176
"5",0.51755002945423,0.213600452503726
"5",0.546556905513259,0.219644715597361
"5",0.536240352654339,0.218724290913244
"5",0.593266652115414,0.203519231733922
"5",0.576205347847756,0.204760532375556
"5",0.62081178788767,0.201874986457049
"5",0.595683397498004,0.192672053729151
"5",0.540830071777072,0.201918465336064
"5",0.580415226597332,0.214235372144687
"5",0.623173443331556,0.210026344519529
"5",0.598885841711518,0.201905688388461
"5",0.545852728891623,0.211558230859737
"5",0.609018383038876,0.213659621923219
"5",0.583453105060576,0.203484778217184
"5",0.527810043890173,0.209100355353917
"5",0.6241471233173,0.199902208526004
"5",0.573979550835835,0.215486203555738
"5",0.550113047050293,0.202245691280779
"5",0.593691154734023,0.20499812236319
"5",0.634011512798567,0.199294993792944
"5",0.610502226145731,0.192243920486762
"5",0.559036568324521,0.205165279910669
"5",0.620753881415096,0.203290514476881
"5",0.596048255534193,0.194345840605686
"5",0.542127855110221,0.203595678233743
"5",0.634519810597967,0.189318679975009
"5",0.585757584642748,0.207846900885899
"5",0.562639253595616,0.195845180056861
"5",0.623079219918421,0.211216683286806
"5",0.59918678929228,0.203301426062599
"5",0.547026210995149,0.212926527994752
"5",0.636258067236097,0.197420031944821
"5",0.588939759275454,0.215335668166181
"5",0.566534318639174,0.204584292949962
"5",0.624041678813378,0.201261616142901
"5",0.574655611325408,0.216587875374052
"5",0.551170639515481,0.203743660892387
"5",0.591134427397966,0.20637283725644
"5",0.590256611538933,0.219739311221901
"5",0.631805582392392,0.213409167704771
"5",0.607747644535889,0.206532780597249
"5",0.555100140073483,0.21815591725564
"5",0.61813782558642,0.217694235005942
"5",0.592825867645132,0.208954267731626
"5",0.537606873541523,0.216892927110627
"5",0.632416084747451,0.203334677255254
"5",0.582594070914193,0.220530461888422
"5",0.558946406748329,0.208735257449278
"5",0.620600425565503,0.224867780257681
"5",0.596141321462211,0.217096876407118
"5",0.542766460570496,0.225560259829711
"5",0.634253040789577,0.210680061479627
"5",0.585937411600129,0.227432925857303
"5",0.563035050684551,0.216827063017632
"5",0.621687505139189,0.214770015416672
"5",0.571214107138815,0.22893719425841
"5",0.547182971976646,0.216255679213268
"5",0.588292658654992,0.21834702840174
"5",0.631573289212029,0.214526625596931
"5",0.607903145683053,0.207806057357343
"5",0.556115645864475,0.219324451320909
"5",0.644008311638063,0.200261087654499
"5",0.596997705343734,0.219570081096074
"5",0.574786054667325,0.210003801227097
"5",0.632183859821785,0.204618287196017
"5",0.583132707409961,0.221500772118103
"5",0.559859711444795,0.210038684228857
"5",0.598875361832855,0.210594719530102
"5",0.634000171156226,0.211777600410062
"5",0.586409832991766,0.228237118149096
"5",0.563859087036988,0.217909221275981
"5",0.601477911326878,0.217250066552186
"5",0.588712913276332,0.219281582422235
"5",0.593001749420653,0.206549395577989
"5",0.63295188793829,0.200970987238367
"5",0.609688685047463,0.193961129267764
"5",0.558781232845209,0.206517278229554
"5",0.619796364337832,0.204896354716725
"5",0.595362452323711,0.196041040350034
"5",0.542054472897574,0.205023485781361
"5",0.633497453242955,0.191119510418302
"5",0.585236589365711,0.209136958753798
"5",0.562356481575129,0.197307861677289
"5",0.622126404104389,0.212640330837551
"5",0.598488170585777,0.204786061480721
"5",0.546900899496096,0.214150460177308
"5",0.635247815681258,0.199027513429295
"5",0.588401758022613,0.216478616511164
"5",0.566220136731521,0.205862844991654
"5",0.623117462572364,0.202805137703981
"5",0.574245612377853,0.217726827538707
"5",0.551006466168941,0.205071858642849
"5",0.590595376353683,0.207614405402853
"5",0.632709158471373,0.202319059276945
"5",0.609808744294952,0.195473867714913
"5",0.559705824390945,0.207882776103977
"5",0.644691886670102,0.188571660334483
"5",0.599073702918475,0.208628588667302
"5",0.577540797738833,0.199008268346675
"5",0.633256172334122,0.192631206774617
"5",0.58571896836336,0.210297273089116
"5",0.563189794863132,0.198806159813536
"5",0.600821511954228,0.199850664548505
"5",0.634988017205088,0.200328778225101
"5",0.588824111892086,0.217456515245737
"5",0.566972492942016,0.207121123906484
"5",0.603300230935344,0.206922415816204
"5",0.590971196237259,0.208718563594463
"5",0.630533991959406,0.21592350325642
"5",0.607113309945462,0.209232296703414
"5",0.555890983186485,0.220443833601606
"5",0.642926092887273,0.201849085028118
"5",0.596381635562499,0.220663855608215
"5",0.574389943877331,0.211202491935292
"5",0.631180151776746,0.206131331010482
"5",0.582636292506599,0.222574693936123
"5",0.559604708412706,0.211263356765386
"5",0.598264244951116,0.211785720490457
"5",0.633007303089767,0.213135195040872
"5",0.585894636141596,0.229188970096904
"5",0.563570614384446,0.21898118684678
"5",0.600858855703157,0.218319372424235
"5",0.58819473635962,0.220328867879606
"5",0.64255687912374,0.203096941494847
"5",0.596685882208093,0.22154535683342
"5",0.575018633660997,0.212319670119756
"5",0.610523592830539,0.210475571238805
"5",0.598530916778799,0.212793816258573
"5",0.601083099774805,0.219181329925166
"6",0.533506667333873,0.209778966973148
"6",0.522049674405326,0.207701637718375
"6",0.551857791034861,0.213818464984426
"6",0.536548734186771,0.204082360366659
"6",0.503852868813685,0.201706136168478
"6",0.525606568910347,0.213857185382379
"6",0.554625698588159,0.218935647415855
"6",0.539632197273796,0.209867582233057
"6",0.507591667478474,0.208153429175043
"6",0.544353721664851,0.218367029970246
"6",0.528885696576194,0.208234052954178
"6",0.495911242270391,0.204650108714205
"6",0.556975585959003,0.213273265393034
"6",0.526002971241198,0.214260896779843
"6",0.511177767121315,0.203098578343099
"6",0.534373445069684,0.21071483974533
"6",0.562396993710216,0.214907496476331
"6",0.547701687061061,0.206365823334312
