"NumberOfImages","Mean","StandardDeviation"
"1",0.364767090162655,0.225370681764861
"1",0.402024868647154,0.227380564208887
"1",0.501210807234672,0.184687171463637
"1",0.401301405199602,0.263903588222459
"1",0.4669465889799,0.191361535522206
"1",0.525380435159411,0.225262810612232
"1",0.469576135751675,0.244593746851738
"1",0.653011913736521,0.195171467615698
"1",0.547714930358456,0.189699413253985
"1",0.299620109136243,0.194787526939945
"2",0.371756089676326,0.226215473313309
"2",0.39478233305242,0.224312405300929
"2",0.372026118077896,0.233986012931918
"2",0.387816821162484,0.222302146455436
"2",0.405555453532397,0.235937382590042
"2",0.387240776208263,0.233620805231787
"2",0.450144975453661,0.253673493480734
"2",0.417648127911254,0.23106252595215
"2",0.346271798362383,0.219103161762338
"2",0.456560953604653,0.21086122272766
"2",0.401650249975834,0.246963548338628
"2",0.438239903695268,0.210538601427599
"2",0.475524534635935,0.234080438050498
"2",0.438619662012681,0.239236220411606
"2",0.564094392737524,0.239423193380209
"2",0.494944233039753,0.215825556298034
"2",0.337310301015208,0.213176700986179
"2",0.454467007341927,0.23069161530694
"2",0.483801757958487,0.188883330840453
"2",0.514429052921741,0.208206506335659
"2",0.485651964917743,0.216809106994719
"2",0.592103366638619,0.205010506723051
"2",0.528668474913639,0.189048633199085
"2",0.383415282480501,0.214986046860351
"2",0.436761546354634,0.22994306418186
"2",0.473088495908265,0.249922830798128
"2",0.437076826245439,0.256243040473425
"2",0.559692237227609,0.254105925086839
"2",0.492248308694433,0.231905732027135
"2",0.338745118308458,0.229318197746643
"2",0.498434912893287,0.212314795988351
"2",0.468218633803191,0.218736710006769
"2",0.5769053940055,0.214143384039864
"2",0.514001749804184,0.194514066989448
"2",0.370490215610398,0.210278233654156
"2",0.50054650682305,0.235696483375291
"2",0.595940853793618,0.218575023158834
"2",0.537536913273363,0.20696289563885
"2",0.403913032355386,0.237746178018221
"2",0.580846075830305,0.233818655194449
"2",0.516327805107651,0.216859915599611
"2",0.368920171280464,0.232033825652754
"2",0.6012725760797,0.199567935041243
"2",0.481591445042419,0.263083138471681
"2",0.42522978769203,0.228771808889187
"3",0.395887669774269,0.224797094420871
"3",0.376709909372057,0.233220004728277
"3",0.389972014065447,0.223136775280639
"3",0.405036643510723,0.234701588256976
"3",0.389510693164113,0.232733263233
"3",0.44341828906291,0.250718965735434
"3",0.415445103100633,0.230609770107544
"3",0.354182357067531,0.221152583146895
"3",0.39583885197264,0.231200395281979
"3",0.408143149379933,0.220375560172526
"3",0.422183048457108,0.23072246102684
"3",0.40791128108323,0.229770177220571
"3",0.45860225298668,0.244339585999434
"3",0.431604480129047,0.226143282504846
"3",0.372305100036464,0.221419723230541
"3",0.389989053713076,0.229565650080296
"3",0.404891356416014,0.240520827335491
"3",0.38953311274259,0.23887481309933
"3",0.442887647614088,0.255808588552514
"3",0.415198306368935,0.236345747836738
"3",0.354569598237739,0.227279850461437
"3",0.416515036974974,0.229822544836563
"3",0.402083433571904,0.228465756416007
"3",0.45300346067763,0.244278004862947
"3",0.426105935959141,0.225516449942524
"3",0.367099226559229,0.219362893951057
"3",0.416386712683155,0.238632876001204
"3",0.464685798313837,0.250204788280315
"3",0.438639942041046,0.233868629850012
"3",0.381374619354048,0.231510646392361
"3",0.453276256615949,0.252332289835477
"3",0.426087381995358,0.234098867793906
"3",0.366432414403526,0.228073723969717
"3",0.471852488906778,0.244307340224918
"3",0.417307278600183,0.249906745884656
"3",0.391695722760923,0.228871995513725
"3",0.438552786595684,0.230951192087873
"3",0.460322696272344,0.204072602650372
"3",0.484013858834409,0.219323075337193
"3",0.461081442780674,0.22323928016932
"3",0.545102071442463,0.226152775406934
"3",0.496866296425983,0.206792446935669
"3",0.388140410119404,0.218347820544143
"3",0.426347117500633,0.229727140247125
"3",0.45305999787665,0.245865719897087
"3",0.426311551030168,0.248261173360298
"3",0.519229209320818,0.256921971944271
"3",0.468720130346636,0.234107820966271
"3",0.355437671434335,0.230499483310064
"3",0.472627818185519,0.220616942387409
"3",0.4489968848167,0.223309845702133
"3",0.534087112908793,0.230091740148202
"3",0.486163200616494,0.208864536326817
"3",0.378416348014845,0.215138128293335
"3",0.473601369032686,0.237544067554851
"3",0.550811967708548,0.235377816092991
"3",0.505539212783873,0.219633846832216
"3",0.403462531620135,0.235313792011605
"3",0.536194713409276,0.244785029928053
"3",0.48733861753403,0.225135025459442
"3",0.377410404578725,0.231299311801483
"3",0.557802012170448,0.221786102057606
"3",0.464064642149191,0.257763274562433
"3",0.420047604831273,0.22866419055285
"3",0.458893296574011,0.217636912936624
"3",0.48220075970605,0.231186166359757
"3",0.459603277982664,0.235615649073521
"3",0.54234636927558,0.237166252076525
"3",0.494947184205974,0.218798776844058
"3",0.38820244857635,0.229238745496792
"3",0.499291708877889,0.204188816890975
"3",0.479213452567266,0.208588254030118
"3",0.555432607489328,0.209017658312214
"3",0.510320348717917,0.191823132545118
"3",0.408505675100761,0.211662723086753
"3",0.500755746232386,0.220902469432345
"3",0.570333104079572,0.214126901248783
"3",0.527580761162725,0.201753369995011
"3",0.430844817231632,0.228502817485269
"3",0.557830900190297,0.223676230426975
"3",0.511893961028798,0.208052283149464
"3",0.408133706993319,0.22724531017427
"3",0.575836774461922,0.200677508058891
"3",0.486624587034185,0.245519940887057
"3",0.444978602510132,0.220700847889866
"3",0.471054637894079,0.232188195760115
"3",0.447789412087215,0.235476607390085
"3",0.53155372939889,0.240638543394733
"3",0.484455943219079,0.220523690722268
"3",0.378655059377339,0.226139332045028
"3",0.471975413175148,0.248249229021023
"3",0.54811914696831,0.245292547648165
"3",0.503583992825013,0.230189856711944
"3",0.40325547268394,0.244595912589957
"3",0.53357382420382,0.254686721211803
"3",0.485575985854003,0.235934658248205
"3",0.377672594329069,0.241489791427281
"3",0.555163993881924,0.231939809395332
"3",0.462902719955097,0.265449566194524
"3",0.419584372518783,0.237744060164036
"3",0.489727508392005,0.222939308492124
"3",0.560241928087691,0.21912921779519
"3",0.517732324058542,0.205171369507094
"3",0.421771473582694,0.227354667069134
"3",0.547166433258834,0.228110360466967
"3",0.501511060363455,0.210752061369223
"3",0.398642450966164,0.225050537404515
"3",0.5662968694639,0.206073606823768
"3",0.477743441064105,0.246352303842808
"3",0.436334190883011,0.220209198239159
"3",0.562590119627514,0.232501102658871
"3",0.519349128573238,0.219739604995682
"3",0.421661904356008,0.241382274339906
"3",0.579151401621364,0.210233037535714
"3",0.494466636030901,0.253336474236594
"3",0.45504485926101,0.232289746867494
"3",0.568604760175738,0.219139979858576
"3",0.47858335387743,0.258628722819456
"3",0.436479543635446,0.233683234123679
"3",0.503557419719239,0.243195767240397
"4",0.396650003302717,0.230711415476091
"4",0.407360148581187,0.221292698403611
"4",0.419671619031232,0.230403854440188
"4",0.407150219042669,0.229469983049015
"4",0.451846767983326,0.243069346926461
"4",0.428046307938057,0.226495893306443
"4",0.375899067757226,0.222359207232843
"4",0.391559006455552,0.229316488190835
"4",0.404527544746291,0.238893946863442
"4",0.391179594642695,0.237428126949128
"4",0.437921035728511,0.252876006999619
"4",0.413585024517617,0.235304760284588
"4",0.360412537799045,0.227825400221702
"4",0.414718745529095,0.229569809491006
"4",0.402075900726266,0.228325328331167
"4",0.446945518428562,0.242891553644588
"4",0.423223109948187,0.225874671890639
"4",0.371302332137317,0.220634956983927
"4",0.414588626906447,0.237299854573937
"4",0.457423166534017,0.24847713977347
"4",0.434365462860653,0.233415813761373
"4",0.383797739563653,0.23112438211872
"4",0.447127872616663,0.250024913840495
"4",0.423179127546772,0.233427922308399
"4",0.37075709982398,0.228284906383652
"4",0.464019385545632,0.243465779868884
"4",0.415584467803152,0.247516157078477
"4",0.392868324139965,0.228725643459118
"4",0.407211677628087,0.226804185798014
"4",0.419414754563257,0.235495502620381
"4",0.407002224402352,0.23476867812769
"4",0.451319133828886,0.247647556240793
"4",0.427724445287364,0.231542637978231
"4",0.376037305776131,0.227539491569438
"4",0.428996602742146,0.225748241333763
"4",0.417225437724491,0.225177884808854
"4",0.459821118193169,0.237357242171471
"4",0.436804192149995,0.221722080157129
"4",0.386300731148536,0.219818610633807
"4",0.429008128191304,0.233363817261007
"4",0.469727147028508,0.242544999369842
"4",0.447337076428453,0.228695189510086
"4",0.398114876745282,0.229347790133853
"4",0.4601182493598,0.244402933451162
"4",0.436888317018711,0.229175796066056
"4",0.385910720325177,0.227321435645843
"4",0.475777550455248,0.237415464917274
