"SubjectID","Simulation","Segmentation","VDP","DiceAll","Dice1","Dice2","Dice3"
"002010_XeVent_Noise_1.nii.gz",1,"LinearBinning",0.0077683672729324,0.879058448099409,0.230373999283068,0.405755737899869,0.959998135980241
"002010_XeVent_Noise_1.nii.gz",1,"Atropos",0.0587462628834826,0.960062211405962,0.92636678200692,0.516893374286968,0.980215475024486
"002010_XeVent_Noise_1.nii.gz",1,"ElBicho",0.0403568291523293,0.963344845421025,0.935445307830245,0.908461344749433,0.979248371398126
"002010_XeVent_Noise_1.nii.gz",1,"Kmeans",0.0123133456359343,0.97289935773976,0.595121951219512,0.495739981066583,0.992477151505201
"002010_XeVent_Noise_1.nii.gz",1,"Fuzzy",0.107008453337416,0.915772847783517,0.917999473149437,0.873606307591845,0.94044731102297
"002010_XeVent_Noise_1.nii.gz",2,"LinearBinning",0.0549910148034136,0.988532793952922,0.959167896549301,0.947387880356417,0.995930597844473
"002010_XeVent_Noise_1.nii.gz",2,"Atropos",0.0579404156559999,0.966001305472509,0.94383275261324,0.5784140969163,0.983074979088434
"002010_XeVent_Noise_1.nii.gz",2,"ElBicho",0.040509940125551,0.9966936980133,0.993536840011932,0.991567141817559,0.998175521396655
"002010_XeVent_Noise_1.nii.gz",2,"Kmeans",0.0199447188801947,0.99283601814768,0.942498095963442,0.85195670274771,0.997522464535789
"002010_XeVent_Noise_1.nii.gz",2,"Fuzzy",0.108120522511342,0.991595013417356,0.991726255100895,0.986775539185231,0.994235866653577
"002010_XeVent_Noise_1.nii.gz",3,"LinearBinning",0.0154642082953914,0.900260288654477,0.411625911625912,0.525188965199708,0.967607930488395
"002010_XeVent_Noise_1.nii.gz",3,"Atropos",0.0576019598204572,0.965179341300476,0.926334917528655,0.568865675031225,0.983156426194401
"002010_XeVent_Noise_1.nii.gz",3,"ElBicho",0.0405744079037496,0.965418011660786,0.932737208147044,0.91355996461519,0.980733668065959
"002010_XeVent_Noise_1.nii.gz",3,"Kmeans",0.0124745150814309,0.973527918577196,0.599306358381503,0.509175738724728,0.992920048350889
"002010_XeVent_Noise_1.nii.gz",3,"Fuzzy",0.105042186102359,0.920333943091069,0.921645334042311,0.879497805948318,0.944048291695574
"002010_XeVent_Noise_1.nii.gz",4,"LinearBinning",0.0189857606794904,0.906884352864384,0.482737424444217,0.557216218287729,0.969354451304802
"002010_XeVent_Noise_1.nii.gz",4,"Atropos",0.0590766602467504,0.962785975034853,0.920847422538127,0.553549673275003,0.981937631862409
"002010_XeVent_Noise_1.nii.gz",4,"ElBicho",0.0405018816532762,0.966219034114605,0.936356404136834,0.915480501979281,0.981090039071074
"002010_XeVent_Noise_1.nii.gz",4,"Kmeans",0.0128774386951722,0.974599695389748,0.624914285714286,0.523622665201695,0.993143530997305
"002010_XeVent_Noise_1.nii.gz",4,"Fuzzy",0.10173821246968,0.926176335490318,0.921486168447857,0.886270517245661,0.949712471335332
"002010_XeVent_Noise_1.nii.gz",5,"LinearBinning",0.0593103559427204,0.999637368747633,0.996952251947172,0.998354601630773,1
"002010_XeVent_Noise_1.nii.gz",5,"Atropos",0.0587543213557574,0.972657603571515,0.957995986436925,0.639065817409766,0.986153593451036
"002010_XeVent_Noise_1.nii.gz",5,"ElBicho",0.0405582909592,0.998890964277376,0.997913147172811,0.997194680600467,0.999377348597396
"002010_XeVent_Noise_1.nii.gz",5,"Kmeans",0.0223783775071922,0.996051348585335,1,0.91551724137931,0.997931022834752
"002010_XeVent_Noise_1.nii.gz",5,"Fuzzy",0.109232591685268,0.995463080109273,0.990278967559313,0.992863390333253,0.997879928114119
"002010_XeVent_Noise_1.nii.gz",6,"LinearBinning",0.0538708871572127,0.985551159211237,0.948899929027679,0.933516259408951,0.994819603431711
"002010_XeVent_Noise_1.nii.gz",6,"Atropos",0.0575133166254342,0.964542721990765,0.943554591872421,0.567626054966457,0.982207641321718
"002010_XeVent_Noise_1.nii.gz",6,"ElBicho",0.040646934154223,0.995730486991328,0.991463172523327,0.989153734030695,0.997640813919198
"002010_XeVent_Noise_1.nii.gz",6,"Kmeans",0.0199608358247443,0.992578147034885,0.942139322421013,0.845806127574083,0.997396174021666
"002010_XeVent_Noise_1.nii.gz",6,"Fuzzy",0.108434802930061,0.989411167430878,0.98781308411215,0.983448797077718,0.993044506709094
"002010_XeVent_Noise_1.nii.gz",7,"LinearBinning",0.0398410869267404,0.95089166995721,0.800550651874646,0.767918348693731,0.982674790890309
"002010_XeVent_Noise_1.nii.gz",7,"Atropos",0.0585286841320622,0.95874062195289,0.93794633571379,0.524414850686037,0.979312131730481
"002010_XeVent_Noise_1.nii.gz",7,"ElBicho",0.0409853899897657,0.983629115655336,0.969948596283116,0.958096621246423,0.990922910355538
"002010_XeVent_Noise_1.nii.gz",7,"Kmeans",0.0169147333048601,0.985236878792519,0.812551271534044,0.705105492027702,0.996124014660419
"002010_XeVent_Noise_1.nii.gz",7,"Fuzzy",0.10359166109289,0.961287099191735,0.958889441278825,0.940365947516075,0.973642731430106
"002010_XeVent_Noise_1.nii.gz",8,"LinearBinning",0.0205732797176311,0.911679143867906,0.512552721430006,0.582180029738076,0.971193260345568
"002010_XeVent_Noise_1.nii.gz",8,"Atropos",0.0579645910728244,0.961150105163063,0.927889639796558,0.52411040904556,0.980810632884366
"002010_XeVent_Noise_1.nii.gz",8,"ElBicho",0.0396799174812439,0.970543463301317,0.944343982318666,0.925920449504658,0.983549062373275
"002010_XeVent_Noise_1.nii.gz",8,"Kmeans",0.0137477537008534,0.976598196513905,0.668302476020522,0.551898734177215,0.993727436252807
